一级分类,二级分类,品名,最低价,平均价,最高价,单位,发布日期
肉禽蛋,禽蛋类,淘汰鸡,10.0,10.0,10.0,斤,2022-01-01
肉禽蛋,禽蛋类,淘汰鸡,9.0,9.25,9.5,斤,2022-01-01
肉禽蛋,禽蛋类,仔鸡,7.5,7.75,8.0,斤,2022-01-01
肉禽蛋,禽蛋类,肉鸡,7.0,7.0,7.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡胸,7.0,7.0,7.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡翅,10.5,10.75,11.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡翅尖,7.5,7.5,7.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡翅中,21.0,21.5,22.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡翅根,8.0,8.0,8.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡边腿,6.5,6.75,7.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡排腿,7.5,7.5,7.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡琵琶腿,7.5,7.5,7.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡胗,14.0,16.0,18.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡爪,15.0,15.0,15.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡心,6.0,6.0,6.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸡肝,2.5,2.5,2.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡脖子,4.5,4.5,4.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡头,2.5,2.5,2.5,斤,2022-01-01
肉禽蛋,禽蛋类,鸡架子,3.0,3.0,3.0,斤,2022-01-01
肉禽蛋,禽蛋类,白条乌鸡,11.0,11.0,11.0,斤,2022-01-01
肉禽蛋,禽蛋类,黑爪公鸡,12.0,12.0,12.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸭腿,6.5,6.5,6.5,斤,2022-01-01
肉禽蛋,禽蛋类,白条湖鸭,7.0,7.0,7.0,斤,2022-01-01
肉禽蛋,禽蛋类,箱鸡蛋,195.0,199.0,203.0,箱,2022-01-01
肉禽蛋,禽蛋类,箱鸡蛋,4.43,4.52,4.61,斤,2022-01-01
肉禽蛋,禽蛋类,散鸡蛋,4.7,4.7,4.7,斤,2022-01-01
肉禽蛋,禽蛋类,生鸭蛋,7.2,7.85,8.5,斤,2022-01-01
肉禽蛋,禽蛋类,熟鸭蛋,7.5,8.25,9.0,斤,2022-01-01
肉禽蛋,禽蛋类,松花蛋,7.7,8.35,9.0,斤,2022-01-01
肉禽蛋,禽蛋类,鹅蛋,16.5,17.0,17.5,斤,2022-01-01
肉禽蛋,禽蛋类,鹌鹑蛋,6.0,6.5,7.0,斤,2022-01-01
肉禽蛋,禽蛋类,柴鸡蛋,4.66,6.83,9.0,斤,2022-01-01
肉禽蛋,禽蛋类,乌鸡蛋,5.7,7.85,10.0,斤,2022-01-01
肉禽蛋,禽蛋类,鸵鸟蛋,110.0,115.0,120.0,个,2022-01-01
肉禽蛋,禽蛋类,鸽子蛋,3.0,3.0,3.0,个,2022-01-01
